,YEAR,STATE,StateFIP,CensusRegion,CensusDivision,FiscalEffortPercentage,FiscalEffortIncomePercentage,PredictedCostPerPupilState,ActualSpendingPerPupilState,StateEnrollment,TeacherSalary25_30,NonTeacherSalary25_30,TeacherSalary31_40,NonTeacherSalary31_40,TeacherSalary41_50,NonTeacherSalary41_50,TeacherSalary51_60,NonTeacherSalary51_60,SalaryParityAge25,SalaryParityAge35,SalaryParityAge45,SalaryParityAge55,TotalTeacherSalary
77,2017,NEW HAMPSHIRE,33,Northeast,New England,0.0372917,0.0383098,8627.812,15730.82,177446.0,25162.94,31400.09,29049.36,36131.61,33296.21,41609.25,37105.83,46124.52,0.8013653,0.8039872,0.8002118,0.8044708,124614.34000000001
78,2017,NEW JERSEY,34,Northeast,Middle Atlantic,0.0470544,0.048606,11589.65,18289.32,1331554.0,36226.77,38179.04,41967.28,44227.2,48523.99,51299.96,54468.34,57468.24,0.9488655,0.9489021,0.9458874,0.947799,181186.37999999998
79,2017,NEW MEXICO,35,West,Mountain,0.040803,0.0452349,14397.91,9888.314,315822.0,22577.63,27983.5,25851.51,31929.19,29588.07,36870.77,32912.36,40960.97,0.8068193,0.8096514,0.8024802,0.8035054,110929.56999999999
80,2017,NEW YORK,36,Northeast,Middle Atlantic,0.0438164,0.0560524,16353.88,23097.66,2587879.0,34699.13,37235.73,40196.29,42931.4,46242.32,49688.48,51804.13,55627.33,0.9318772,0.9362912,0.9306446,0.9312712,172941.87
81,2017,NORTH CAROLINA,37,South,South Atlantic,0.0279635,0.0340195,13305.0,9072.064,1457357.0,22334.78,31194.46,26089.94,35968.92,29995.76,41563.01,33526.16,46523.9,0.7159854,0.7253468,0.7216936,0.7206224,111946.64
82,2017,NORTH DAKOTA,38,Midwest,West North Central,0.0337661,0.0451831,9217.099,13203.49,106135.0,27228.2,30041.56,30510.22,33869.02,34843.63,37985.35,37880.66,42107.52,0.9063511,0.9008298,0.9172911,0.8996177,130462.70999999999
83,2017,OHIO,39,Midwest,East North Central,0.0384404,0.045244,12970.69,11695.36,1590877.0,25166.83,31005.73,29041.59,35776.73,33499.16,41428.75,37408.8,46337.95,0.8116831,0.811745,0.8085968,0.8073037,125116.38
84,2017,OKLAHOMA,40,South,West South Central,0.0309805,0.0339661,11680.26,7939.695,667474.0,21588.51,29337.08,24648.2,33229.98,27900.23,37796.37,30991.19,41657.22,0.735878,0.7417458,0.7381724,0.7439571,105128.13
85,2017,OREGON,41,West,Pacific,0.0350917,0.0392753,10725.33,10675.69,568629.0,24381.7,31310.43,28510.67,35934.91,32603.68,41369.64,36218.24,46352.71,0.7787086,0.7933975,0.7881064,0.7813619,121714.28999999998
86,2017,PENNSYLVANIA,42,Northeast,Middle Atlantic,0.0401983,0.0441482,11179.98,14410.0,1573983.0,28408.18,31216.23,33029.19,36138.0,38219.65,42072.95,43003.59,47235.06,0.9100452,0.9139739,0.9084139,0.9104167,142660.61
87,2017,RHODE ISLAND,44,Northeast,New England,0.0435712,0.0464737,12474.49,15813.29,133230.0,34241.07,34800.31,41071.75,40910.07,46890.06,48217.55,53130.4,54637.34,0.9839301,1.003952,0.9724689,0.9724191,175333.28
88,2017,SOUTH CAROLINA,45,South,South Atlantic,0.0411218,0.0434569,14450.13,10532.37,712716.0,21340.2,27105.61,24678.36,31490.35,28512.92,36461.75,32186.82,40992.82,0.7872984,0.7836798,0.7819954,0.7851818,106718.29999999999
89,2017,SOUTH DAKOTA,46,Midwest,West North Central,0.0300792,0.0350808,9693.889,9829.244,132165.0,24988.62,27737.37,27739.44,30613.69,30666.14,33811.59,33005.17,36408.68,0.900901,0.9061122,0.9069712,0.9065193,116399.37
90,2017,TENNESSEE,47,South,East South Central,0.0285138,0.033018,10981.19,9000.999,845347.0,20788.06,27131.58,24533.19,31998.95,28760.89,37685.67,32597.31,42921.93,0.7661941,0.7666872,0.7631785,0.7594558,106679.45
91,2017,TEXAS,48,South,West South Central,0.0348017,0.0422605,15754.26,9285.069,5082096.0,24337.0,33939.43,28073.73,39205.96,32500.12,45354.74,36356.07,50827.25,0.7170715,0.7160578,0.716576,0.715287,121266.91999999998
92,2017,UTAH,49,West,Mountain,0.0314424,0.038892,8117.358,7153.631,553599.0,21258.55,29074.61,25316.74,34104.04,29041.52,39647.69,33018.74,44901.07,0.7311723,0.7423385,0.7324896,0.7353665,108635.54999999999
93,2017,VERMONT,50,Northeast,New England,0.0516374,0.0517281,9466.373,18536.14,18406.0,26611.86,26909.63,30560.44,30783.42,34928.55,35122.99,38538.53,39119.93,0.9889344,0.9927565,0.994464,0.9851381,130639.38
94,2017,VIRGINIA,51,South,South Atlantic,0.0348561,0.0382432,12376.52,11884.99,1286711.0,24867.0,33914.46,28844.87,39327.51,33419.92,45603.39,37276.58,51018.45,0.7332271,0.7334528,0.7328385,0.7306491,124408.37
95,2017,WEST VIRGINIA,54,South,South Atlantic,0.0425148,0.044425,9973.696,11400.51,273170.0,22696.58,26997.47,26893.96,31361.5,31145.95,36809.79,35445.81,41729.8,0.8406928,0.8575473,0.8461323,0.8494124,116182.3
96,2017,WISCONSIN,55,Midwest,East North Central,0.0359463,0.0407452,11050.04,11944.29,852453.0,25728.43,32363.64,29432.36,36906.75,33635.8,42236.66,36923.59,46785.5,0.7949793,0.7974789,0.796365,0.7892101,125720.18
97,2017,WYOMING,56,West,Mountain,0.0527814,0.0593292,8327.978,16536.87,93925.0,25178.96,27860.31,27991.91,31549.44,31722.37,36324.35,35424.94,40146.14,0.9037572,0.8872396,0.8733088,0.8823997,120318.18
98,2018,ALABAMA,1,South,East South Central,0.0364032,0.0393979,16600.88,9695.174,725552.0,22020.27,27917.01,25526.79,32607.85,29934.48,38073.77,33870.33,43038.52,0.7887762,0.7828419,0.7862231,0.7869772,111351.87
99,2018,ALASKA,2,West,Pacific,0.0417932,0.0525449,11862.44,17823.7,123577.0,34390.12,31713.37,40078.21,36693.82,46905.24,42510.67,51752.69,47527.97,1.084404,1.092233,1.103376,1.088889,173126.26
100,2018,ARIZONA,4,West,Mountain,0.0248814,0.0277157,11510.65,8167.066,917226.0,22026.46,33507.32,25166.2,38099.29,28611.53,43360.68,31682.97,48040.34,0.6573628,0.6605425,0.6598496,0.6595076,107487.16
101,2018,ARKANSAS,5,South,West South Central,0.0422034,0.0414064,15462.74,9927.65,473325.0,24531.9,30688.41,28170.5,34869.0,32165.64,39796.36,35471.87,44052.91,0.7993867,0.8078955,0.8082559,0.8052105,120339.91
102,2018,CALIFORNIA,6,West,Pacific,0.031865,0.0378948,15167.74,11666.42,5969469.0,32393.71,40261.61,37767.56,46654.11,43691.16,54201.34,49071.34,60941.67,0.8045808,0.8095227,0.8060901,0.8052183,162923.77
103,2018,COLORADO,8,West,Mountain,0.0304594,0.0343898,10904.17,10115.71,889510.0,23038.75,32019.08,26740.62,36816.95,30563.16,42643.14,34183.98,47742.4,0.7195319,0.7263126,0.7167193,0.7160088,114526.51000000001
104,2018,CONNECTICUT,9,Northeast,New England,0.0350748,0.0375191,12639.72,19916.27,491590.0,31013.47,35877.48,36224.89,41906.68,42427.82,49013.89,47287.06,55200.13,0.864427,0.8644181,0.8656285,0.8566476,156953.24
105,2018,DELAWARE,10,South,South Atlantic,0.0298705,0.0418462,15038.41,15521.74,113857.0,28893.07,34060.81,33327.72,39528.46,38663.91,46061.76,43398.78,51726.45,0.848279,0.8431323,0.8393928,0.8390056,144283.48
106,2018,DISTRICT OF COLUMBIA,11,South,South Atlantic,0.0212806,0.0523788,25188.55,22759.0,48205.0,28315.12,37811.8,33977.98,46993.93,44192.98,58389.8,50846.41,69014.88,0.7488436,0.7230291,0.7568613,0.7367457,157332.49000000002
107,2018,FLORIDA,12,South,South Atlantic,0.0283843,0.0277649,13242.19,9346.021,2812329.0,25030.61,31066.89,28371.67,35231.52,32137.82,40041.07,35592.39,44190.34,0.8057005,0.8052923,0.8026215,0.8054338,121132.49
