STATE,YEAR,Year_Budget,TotalBudget
CONNECTICUT,2020,ActualSpendingPerPupilState,20543.33
DELAWARE,2020,ActualSpendingPerPupilState,17066.3
DISTRICT OF COLUMBIA,2020,ActualSpendingPerPupilState,22856.0
FLORIDA,2020,ActualSpendingPerPupilState,9936.786
GEORGIA,2020,ActualSpendingPerPupilState,11648.56
HAWAII,2020,ActualSpendingPerPupilState,16292.0
IDAHO,2020,ActualSpendingPerPupilState,8249.993
INDIANA,2020,ActualSpendingPerPupilState,10780.29
IOWA,2020,ActualSpendingPerPupilState,11322.87
KANSAS,2020,ActualSpendingPerPupilState,12116.79
KENTUCKY,2020,ActualSpendingPerPupilState,11396.79
LOUISIANA,2020,ActualSpendingPerPupilState,11856.84
MAINE,2020,ActualSpendingPerPupilState,14506.63
MARYLAND,2020,ActualSpendingPerPupilState,15488.62
MASSACHUSETTS,2020,ActualSpendingPerPupilState,18614.26
MICHIGAN,2020,ActualSpendingPerPupilState,11635.41
MINNESOTA,2020,ActualSpendingPerPupilState,12870.44
MISSISSIPPI,2020,ActualSpendingPerPupilState,9620.342
MISSOURI,2020,ActualSpendingPerPupilState,10804.17
MONTANA,2020,ActualSpendingPerPupilState,11962.25
NEBRASKA,2020,ActualSpendingPerPupilState,12428.11
NEVADA,2020,ActualSpendingPerPupilState,9813.969
NEW HAMPSHIRE,2020,ActualSpendingPerPupilState,17884.18
NEW JERSEY,2020,ActualSpendingPerPupilState,20017.46
NEW MEXICO,2020,ActualSpendingPerPupilState,11331.45
NEW YORK,2020,ActualSpendingPerPupilState,25532.25
NORTH CAROLINA,2020,ActualSpendingPerPupilState,9958.034
NORTH DAKOTA,2020,ActualSpendingPerPupilState,13634.35
OHIO,2020,ActualSpendingPerPupilState,12778.86
OKLAHOMA,2020,ActualSpendingPerPupilState,9488.039
OREGON,2020,ActualSpendingPerPupilState,12130.39
PENNSYLVANIA,2020,ActualSpendingPerPupilState,15602.99
RHODE ISLAND,2020,ActualSpendingPerPupilState,16759.89
SOUTH CAROLINA,2020,ActualSpendingPerPupilState,11496.5
SOUTH DAKOTA,2020,ActualSpendingPerPupilState,10091.45
TENNESSEE,2020,ActualSpendingPerPupilState,9770.979
TEXAS,2020,ActualSpendingPerPupilState,10236.74
UTAH,2020,ActualSpendingPerPupilState,8331.579
VERMONT,2020,ActualSpendingPerPupilState,18536.14
VIRGINIA,2020,ActualSpendingPerPupilState,12903.77
WEST VIRGINIA,2020,ActualSpendingPerPupilState,12293.8
WISCONSIN,2020,ActualSpendingPerPupilState,12716.18
WYOMING,2020,ActualSpendingPerPupilState,16698.27
ALABAMA,2021,ActualSpendingPerPupilState,10693.48
ALASKA,2021,ActualSpendingPerPupilState,20456.6
ARIZONA,2021,ActualSpendingPerPupilState,9535.985
ARKANSAS,2021,ActualSpendingPerPupilState,10977.41
CALIFORNIA,2021,ActualSpendingPerPupilState,14355.84
COLORADO,2021,ActualSpendingPerPupilState,12134.58
CONNECTICUT,2021,ActualSpendingPerPupilState,21878.02
DELAWARE,2021,ActualSpendingPerPupilState,17359.75
DISTRICT OF COLUMBIA,2021,ActualSpendingPerPupilState,24535.0
FLORIDA,2021,ActualSpendingPerPupilState,10421.68
GEORGIA,2021,ActualSpendingPerPupilState,12087.67
HAWAII,2021,ActualSpendingPerPupilState,16964.0
IDAHO,2021,ActualSpendingPerPupilState,9032.155
INDIANA,2021,ActualSpendingPerPupilState,11420.71
IOWA,2021,ActualSpendingPerPupilState,12034.84
KANSAS,2021,ActualSpendingPerPupilState,12845.14
KENTUCKY,2021,ActualSpendingPerPupilState,12125.8
LOUISIANA,2021,ActualSpendingPerPupilState,13413.04
MAINE,2021,ActualSpendingPerPupilState,17332.37
MARYLAND,2021,ActualSpendingPerPupilState,16417.47
MASSACHUSETTS,2021,ActualSpendingPerPupilState,20259.53
MICHIGAN,2021,ActualSpendingPerPupilState,12560.54
MINNESOTA,2021,ActualSpendingPerPupilState,13609.25
MISSISSIPPI,2021,ActualSpendingPerPupilState,10130.46
MISSOURI,2021,ActualSpendingPerPupilState,11401.86
MONTANA,2021,ActualSpendingPerPupilState,13156.5
NEBRASKA,2021,ActualSpendingPerPupilState,13294.14
NEVADA,2021,ActualSpendingPerPupilState,10449.32
NEW HAMPSHIRE,2021,ActualSpendingPerPupilState,19423.45
NEW JERSEY,2021,ActualSpendingPerPupilState,21543.4
NEW MEXICO,2021,ActualSpendingPerPupilState,12126.73
NEW YORK,2021,ActualSpendingPerPupilState,26583.15
NORTH CAROLINA,2021,ActualSpendingPerPupilState,10654.95
NORTH DAKOTA,2021,ActualSpendingPerPupilState,14635.78
OHIO,2021,ActualSpendingPerPupilState,13501.11
OKLAHOMA,2021,ActualSpendingPerPupilState,10486.13
OREGON,2021,ActualSpendingPerPupilState,13036.56
PENNSYLVANIA,2021,ActualSpendingPerPupilState,16249.16
RHODE ISLAND,2021,ActualSpendingPerPupilState,18268.52
SOUTH CAROLINA,2021,ActualSpendingPerPupilState,12460.12
SOUTH DAKOTA,2021,ActualSpendingPerPupilState,10823.02
TENNESSEE,2021,ActualSpendingPerPupilState,10422.29
TEXAS,2021,ActualSpendingPerPupilState,10893.22
UTAH,2021,ActualSpendingPerPupilState,9071.621
VERMONT,2021,ActualSpendingPerPupilState,18536.14
VIRGINIA,2021,ActualSpendingPerPupilState,13834.85
WEST VIRGINIA,2021,ActualSpendingPerPupilState,12966.11
WISCONSIN,2021,ActualSpendingPerPupilState,13571.65
WYOMING,2021,ActualSpendingPerPupilState,18143.85
